shoe_name,goat_price,stockx_low_price,stockx_high_price,low_profit,high_profit
Air Jordan 1 Retro High OG PS 'Lucky Green',80,-1,-1,0,0
Air Jordan 4 Retro OG 'Fire Red' 2020,289,-1,-1,0,0
Dior x Air Jordan 1 Low,6150,-1,-1,0,0
Pharrell x NMD Human Race 'Extra Eye - Legacy ...,210,-1,-1,0,0
Ben & Jerry's x Dunk Low SB 'Chunky Dunky',1332,-1,-1,0,0
LeBron 18 'Lakers',179,-1,-1,0,0
Wmns Air Force 1 Shadow 'Pastel',118,-1,-1,0,0
Air Jordan 1 Retro High OG 'Phantom',100,-1,-1,0,0
Air Jordan 6 Retro 'Defining Moments' 2020,220,-1,-1,0,0
Union LA x Jordan Zoom '92 'Guava Ice',220,-1,-1,0,0
Air Jordan 4 Retro GS 'Black Cat' 2020,353,-1,-1,0,0
Air Jordan 1 Mid SE 'Royal Black Toe',109,-1,-1,0,0
Yeezy Boost 700 'Mauve',335,-1,-1,0,0
Yeezy Boost 380 'Pepper Reflective',240,-1,-1,0,0
Air Max 720 ISPA 'Summit White',119,-1,-1,0,0
Yeezy Boost 350 V2 'Butter',313,-1,-1,0,0
Off-White x Air Max 90 'Desert Ore',498,-1,-1,0,0
Travis Scott x Air Force 1 Low 'Cactus Jack',500,-1,-1,0,0
Union LA x Air Jordan 1 Retro High NRG 'Storm ...,1672,-1,-1,0,0
Paris Saint-Germain x Air Jordan 4 Retro GS 'B...,208,-1,-1,0,0
Off-White x Air Rubber Dunk 'University Gold',288,-1,-1,0,0
Air Jordan 1 Retro High OG CO.JP 'Tokyo',210,-1,-1,0,0
Air Jordan 1 Mid 'White Shadow',130,-1,-1,0,0
Air Jordan 1 Retro High OG 'Court Purple',399,-1,-1,0,0
ISPA Road Warrior 'Clear Jade',600,-1,-1,0,0
Wmns Air Jordan 1 Mid SE 'Lightbulb',178,-1,-1,0,0
Air Max 97 'On Air: Neon Seoul',130,-1,-1,0,0
Air Jordan 12 Retro 'Reverse Flu Game',820,-1,-1,0,0
Air Jordan 1 Retro High SB 'NYC to Paris',225,-1,-1,0,0
Union LA x Air Jordan 1 Retro High NRG 'Black Toe',1310,-1,-1,0,0
KD 13 'Aunt Pearl',192,-1,-1,0,0
Yeezy Boost 350 V2 'Linen',282,-1,-1,0,0
Space Hippie 03 'Grey Volt',170,-1,-1,0,0
Air Jordan 1 Retro High OG 'First Class Flight',80,-1,-1,0,0
Aimé Leon Dore x 550 'Red',224,-1,-1,0,0
Travis Scott x Air Max 270 React ENG 'Cactus T...,400,-1,-1,0,0
LeBron 7 QS 'Media Day',180,-1,-1,0,0
Air Yeezy 2 SP 'Red October',8500,-1,-1,0,0
Air Jordan 1 Retro High OG 'Shattered Backboard',1235,-1,-1,0,0
Feng Chen Wang x Chuck 70 2-in-1 'Persimmon Ivory',170,-1,-1,0,0
Union LA x Jordan Delta Mid 'Off Noir',220,-1,-1,0,0
Air Jordan 13 Retro 'Flint' 2020,220,-1,-1,0,0
Yeezy Quantum 'Barium',189,-1,-1,0,0
Air Jordan 12 Retro 'Game Royal',216,-1,-1,0,0
Air Jordan 11 Retro Low 'Light Bone Snakeskin',100,-1,-1,0,0
Air Jordan 1 Mid 'Chicago',135,-1,-1,0,0
Air Jordan 1 Mid GS 'Chicago Black Toe',142,-1,-1,0,0
Yeezy Boost 700 'Analog',320,-1,-1,0,0
Off-White x Dunk Low 'Pine Green',600,-1,-1,0,0
Air Jordan 1 Retro High OG GS 'Pine Green 2.0',253,-1,-1,0,0
Air Jordan 1 Retro High OG 'Black Gym Red',110,-1,-1,0,0
Yeezy Boost 380 'Mist Non-Reflective',210,-1,-1,0,0
Air Jordan 11 Retro 'Win Like '96',265,-1,-1,0,0
Air Jordan 4 Retro 'Pale Citron',125,-1,-1,0,0
Air Force 1 '07 QS 'Black Skeleton',203,-1,-1,0,0
Off-White x Air Force 1 Low 'Black',754,-1,-1,0,0
Dunk Low Retro SP 'Syracuse',480,-1,-1,0,0
Air Jordan 1 Retro High OG 'Top 3',400,-1,-1,0,0
Yeezy PowerPhase 'Quiet Grey',104,-1,-1,0,0
Star Wars x Rivalry Hi 'Chewbacca',178,-1,-1,0,0
Yeezy Boost 700 'Utility Black',350,-1,-1,0,0
Yeezy Boost 350 V2 'Yeezreel Non-Reflective',250,-1,-1,0,0
Air Jordan 12 Retro 'Deep Royal',175,-1,-1,0,0
